date,hnx,vnx,hnvol,vnvol
20170220,86.53,710.59,903.81,11394.48
20170221,86.85,716.55,530.01,13501.36
20170222,86.61,717.24,791.9,9565.24
20170223,86.26,716.87,855.81,7548.06
20170224,86.31,714.47,434.6,5603.97
20170227,86.86,717.44,538.6,7413.78
20170228,86.83,710.79,675.53,5995.45
20170301,86.61,709.52,554.26,5437.44
20170302,86.6,707.51,507.9,11951.12
20170303,86.65,712.62,631.3,7341.31
20170306,86.55,716.29,486.81,8636.51
20170307,86.69,716.54,1636.67,9323.92
20170308,87.53,716.6,1093.2,7676.7
20170309,87.71,715.8,1494.2,7447.32
20170310,88.13,712.21,2186.3,6270.59
20170313,87.01,710.17,1283.827,9143.18
20170314,87.16,714.71,892.257,6735.921
20170315,87.45,713.14,431.228,7794.91
20170316,87.96,714.92,1573.621,11616.31
20170317,88.37,710.54,2141.95,29716.008
20170320,89.02,715.07,904.12,7078.09
20170321,90.12,716.18,1721.21,22749.722
20170322,89.76,712.94,2121.9,6416.26
20170323,89.89,719.56,1546.37,15432.116
20170324,91.37,722.14,1358.3,11445.26
20170327,91.38,723.52,1922.9,12839.54
20170328,90.54,719.26,1123.09,7863.41
20170329,90.66,720.47,650.105,8080.793
20170330,91.12,723.86,1123.28,8743.58
20170331,90.81,722.31,1852.07,6742.09
20170403,90.91,722.38,1357.1,5779.22
20170404,91.16,724.14,1300.15,11349.02
20170405,90.7,723.22,1766.45,12733.88
20170407,90.14,727.95,649.9,39100.554
20170410,90.43,729.87,2796.4,13977.83
20170411,90.63,731.33,1298.5,13558.65
20170412,89.91,725.58,1319.1,11511.17
20170413,90.02,724.35,637.3,13687.547
20170414,89.63,718.45,932.1,3716.41
20170417,88.29,710.83,712.2,5363.76
20170418,89.12,714.93,1409.8,19262.28
20170419,89.11,716.77,1147.81,8434.66
20170420,88.46,712.66,686,4868.83
20170421,88.87,712.41,1132.6,70784.655
20170424,88.41,709.39,571.35,6635.26
20170425,87.85,707.58,848.08,5541.93
20170426,88.55,710.04,684.61,6660.1
20170427,89.31,716.53,2439.3,12615.091
20170428,89.53,717.73,3255.039,13619.737
20170503,89.82,719.54,434.363,8603.79
20170504,89.52,722.02,2455.6,18135.018
20170505,89.71,720,1007.07,5533.314
20170508,89.13,718.86,571.1,9254.129
20170509,90.37,722.11,331.631,5502.11
20170510,90.16,724.31,602.615,8712.69
20170511,89.9,724.99,838.86,8763.208
20170512,90.38,725.37,714.3,8025.037
20170515,91.1,725.35,700.706,5571.36
20170516,91.28,725.03,1235.4,11428.8
20170517,91.9,727.2,395.24,8080.58
20170518,91.46,726.99,957.515,12215.706
20170519,92.17,733.82,1390.54,9318.13
20170522,92.71,744.1,1211.023,20355.168
20170523,91.89,740.93,2228.613,12873.842
20170524,92.96,742.74,2951.9,11032.61
20170525,93.46,741.91,747.43,13651.25
20170526,93.68,743.41,1287.803,8953.715
20170529,93.8,746.25,2550.164,9523.71
20170530,93.24,738.21,3906.735,10420.61
20170531,93.91,737.82,3188.25,17534.86
20170601,93.99,741.8,1053.602,6746.3
20170602,94.36,738.81,751.007,11487.25
20170605,94.92,743.49,851.7,6350.04
20170606,95.74,751.31,973.2,9064.69
20170607,97.46,753.46,1660.1,8453.72
20170608,97.25,750.13,7924.91,7924.91
20170609,97.36,749.72,1305.61,6713.605
20170612,96.83,751.09,1985.5,8078.77
20170613,97.31,756.89,1219.042,10583.6
20170614,97.88,760.77,1091.222,13501.744
20170615,97.77,760.57,2224.64,14384.79
20170616,98.31,761.24,2759.913,41613.814
20170619,99.41,766.83,992.186,10599.32
20170620,99.79,767.99,976.14,10482.46
20170621,98.67,767.41,693.9,10206.97
20170622,98.6,766.3,332.22,18493
20170623,98.27,769.01,275.12,7552.31
20170626,98.72,772.52,1818.11,10030.95
20170627,98.01,767.51,1061.38,10030.95
20170628,98.34,769.04,760.15,7341.09
20170629,98.79,771.75,1047.7,6701.59
20170630,99.13,776.47,1180.04,16674.539
20170703,100.32,778.88,606.22,10436.34
20170704,100.47,775.54,1359.59,7023.251
20170705,101.92,778.32,920.4,6649.75
20170706,102.6,782.65,1254.09,11874.12
20170707,101.57,775.73,1113.61,25703.754
20170710,100.37,766.56,1135.9,10427.01
20170711,100.41,769.36,1107.25,29649.37
20170712,100.55,774.17,1184.2,13135.9
20170713,100.76,778.3,1008.407,19329.637
20170714,100.42,777.6,758.041,7399.09
